Abv,Common, Coding
BIB,bigmouth buffalo,other
BLB,black bullhead,bullhead
BLC,black crappie,other
BCS,blackchin shiner,other
BNS,blacknose shiner,other
BLG,bluegill,sunfish
BOF,bowfin (dogfish),piscivore
BSB,brook stickleback,other
BRB,brown bullhead,bullhead
OTM,other minnows,other
CSH,common shiner,other
CCF,channel catfish,piscivore
CAP,common carp,carp
EMS,Emerald Shiner,other
FHM,fathead minnow,other
FCF,flathead catfish,piscivore
FRD,freshwater drum,other
GOS,golden shiner,other
GRR,greater redhorse,other
GSF,green sunfish,sunfish
HSF,hybrid sunfish,sunfish
IOD,Iowa darter,other
JOD,Johnny darter,other
LWF,lake whitefish,other
LMB,largemouth bass,piscivore
LED,least darter,other
LSF,longear,sunfish
MUE,Muskellunge,piscivore
NOP,northern pike,piscivore
OSF,orangespotted,sunfish
OSF,Orangespotted Sunfish,sunfish
PMK,pumpkin seed,sunfish
PMK,Pumpkinseed Sunfish,sunfish
RKB,rock bass,other
SHR,shorthead redhorse,other
SMB,smallmouth bass,piscivore
SBF,Smallmouth Buffalo,other
SPS,spottail shiner,other
SUN,sunfish,sunfish
TAM,Tadpole Madtom,other
TME,Tiger Muskellunge,piscivore
TLC,tullibee (cisco),other
WAE,walleye,piscivore
WAR,warmouth,other
WHB,white bass,piscivore
WHC,White Crappie,other
WHP,white perch,other
WTS,white sucker,other
YEB,yellow bullhead,bullhead
YEP,yellow perch,other
RBS,rainbow smelt,other
LAT,lake trout,piscivore
RBT,rainbow trout,piscivore
BNT,brown trout,piscivore
GLR,golden redhorse,other
RRH,river redhorse,other
