Lake_ID,Name,Acres,Lat,Long
11037500,Surprise,25,46.95889664,-94.43868256
11037600,Blueberry,18,46.95292282,-94.43151855
11037700,Horseshoe,57,46.94477463,-94.44780731
11037800,Woodchuck,14,46.94311905,-94.47281647
11037900,Fish,32,46.94562149,-94.48867035
11038000,Peterson,21,46.94150162,-94.51221466
11038100,Paquet,122,46.91762543,-94.50563812
11038300,Pleasant,997,46.91936874,-94.47341919
11038400,Long,135,46.92950058,-94.4526825
11038500,Mud,50,46.90988159,-94.49958038
11038700,Little Webb,249,46.97403717,-94.43365479
11038800,Little Turtle,38,47.06301117,-94.51857758
11038900,Hanson,62,47.0364151,-94.46430206
11039000,Shell,22,47.02342224,-94.42403412
11039100,Big Hanson,18,47.03084564,-94.46836853
11039200,Spruce,30,47.03388977,-94.47354126
11039400,Hovde,115,47.01212311,-94.44882965
11039500,Long,64,46.99945831,-94.42897034
11039600,Diamond,78,46.99769974,-94.4519577
11039700,Bluebill,51,46.99310684,-94.46247864
04062100,Unnamed,100,48.2393837,-95.53842163
04062200,Unnamed,130,48.24129486,-95.5822525
04062300,Unnamed,80,48.23435974,-95.55063629
04062400,Unnamed,10,48.22695541,-95.54747009
04062500,Unnamed,12,48.22560883,-95.53926849
04062600,Unnamed,75,48.23083115,-95.47480774
04062700,Unnamed,55,48.2202034,-95.47571564
04062800,Unnamed,15,48.22084808,-95.53954315
04062900,Unnamed,210,48.20916748,-95.53768921
04063000,Unnamed,12,48.19906998,-95.56412506
04063100,Unnamed,50,48.19930267,-95.5306015
04063200,Unnamed,2500,48.188694,-95.48765564
04063300,Unnamed,60,48.20599365,-95.48087311
04063500,Unnamed,1665,48.35683823,-95.47970581
04063600,Unnamed,68,48.348526,-95.46167755
04063900,Unnamed,23,47.48904419,-94.59078979
04064900,Ludlow Pit,31,48.28385544,-94.56032562
04065100,Mcquire Pond,12,47.65848923,-94.53839111
05000100,Bible's Duck Slough,54,45.61418152,-93.81832886
05000200,Unnamed,33,45.60269928,-93.92813873
05000300,Unnamed,24,45.57474136,-94.0008316
05000400,Donovan,93,45.57266235,-94.0634613
05000500,Unnamed,62,45.56653214,-94.01805115
05000600,Unnamed,26,45.71991348,-94.12509918
05000700,Mayhew,127,45.70402908,-94.098526
05000800,Unnamed,65,45.68612671,-94.05167389
05001100,Unnamed,25,45.59600449,-94.1548996
05001200,Unnamed,95,45.69863129,-94.17607117
05001300,Little Rock,1259,45.73443985,-94.16706085
05001400,Unnamed,32,45.80110168,-94.22616577
05001500,Mill Pond,11,45.77096558,-94.21810913
05001600,Nesser Marsh,10,45.56516647,-93.9797287
05002100,Unnamed,10,45.5663147,-94.06948853
05002200,Unnamed,17,45.75709915,-94.13716888
07010400,Horseshoe,18,44.20727921,-94.22732544
07010500,Kilby,56,44.17876434,-94.24842834
07010600,Unnamed,36,44.0167923,-94.32850647
07010700,Unnamed,126,43.99401093,-94.33809662
07010800,Unnamed,21,43.98215103,-94.33214569
07010900,Unnamed,32,43.96670151,-94.275383
07011000,Porter,24,43.95220184,-94.2638855
03035300,Unnamed,51,47.11807251,-95.80266571
03035400,White,107,47.10140991,-95.80715179
03035500,Sauer,215,46.7188797,-95.88144684
03035600,Unnamed,21,46.71779633,-95.90804291
03035700,Munson,139,46.79330444,-95.8943634
03035900,Sallie,1287,46.7715683,-95.89630127
030359TW,Sallie-TW,0,46.7531662,-95.89029694
03036000,Muskrat,65,46.78255463,-95.8764801
03036100,West Twin,16,46.77972031,-95.86827087
03096700,Unnamed,18,46.73981857,-95.84896088
03096800,Unnamed,27,47.13359833,-95.73669434
03096900,Unnamed,19,47.14914322,-95.7219162
03097000,Unnamed,14,47.13761902,-95.70693207
03097100,Unnamed,12,47.13963318,-95.6989975
03097200,Unnamed,12,46.72564697,-95.29550171
03097600,Unnamed,17,46.83482742,-95.33097076
03097800,Unnamed,30,46.83922958,-95.3427887
03097900,Unnamed,15,46.83900452,-95.35190582
03098100,Unnamed,14,46.83847809,-95.3533783
03098200,Unnamed,16,46.85758209,-95.30695343
03098600,Unnamed,10,46.91881943,-95.25354004
03098700,Cranberry,18,46.92984772,-95.37223816
03098800,Unnamed,40,46.973629,-95.28636932
03098900,Unnamed,10,47.00431824,-95.2880249
03099200,Unnamed,18,47.04855728,-95.2911377
03099300,Unnamed,21,47.06290436,-95.28216553
03099400,Unnamed,12,47.07403183,-95.28659058
03099500,Unnamed,10,47.08930588,-95.25506592
03099600,Unnamed,12,47.09930801,-95.30779266
03099700,Unnamed,14,47.10350418,-95.31233215
03099800,Unnamed,24,47.10330582,-95.32801819
03099900,Unnamed,11,47.10347748,-95.3547821
03100200,Unnamed,24,47.12497711,-95.25673676
03100400,Unnamed,10,47.14546967,-95.28622437
03100700,Unnamed,12,47.13883972,-95.33742523
03100800,Unnamed,10,47.147686,-95.3531723
03100900,Unnamed,8,46.75624466,-95.43881989
03101000,Unnamed,18,46.81253052,-95.40129852
03101100,Unnamed,10,46.84139252,-95.44441223
03101200,Unnamed,8,46.84936905,-95.44998169
03101500,Unnamed,10,46.87356949,-95.40957642
03101700,Unnamed,6,46.91781616,-95.44901276
03102000,Unnamed,126,46.94430542,-95.39257813
03102300,Unnamed,30,46.97951508,-95.45626831
01006600,Porcupine,53,46.37957001,-93.31877136
01006700,Rice,4422,46.51460648,-93.37081146
01006800,Mandy,107,46.54135513,-93.33708191
01006900,Portage,387,46.58813477,-93.42003632
01007000,Round,188,46.64886475,-93.37901306
01007100,Davis,150,46.64627457,-93.3658905
01007102,Steamboat,42,46.64215851,-93.35494995
01007300,Bass,60,46.62150574,-93.36950684
01007400,Turner,63,46.61051559,-93.40467072
01007500,Ude,13,46.60499573,-93.40016174
01007600,Sanders,55,46.75994492,-93.40384674
01007700,Rat,442,46.71895599,-93.34635925
01007800,Brown,97,46.76620102,-93.32949066
01007900,Lagoon (424),23,46.82112122,-93.36264038
01008000,Libby,77,46.77161026,-93.36050415
01008100,Oxbow,36,46.8572197,-93.33624268
01008200,Twin,39,46.8653183,-93.32888794
03059100,Beeber,58,46.79010391,-96.16236115
03059200,Unnamed,19,46.77941895,-96.14087677
03059300,Unnamed,19,46.77427292,-96.14555359
03059400,Unnamed,50,46.78333664,-96.11161041
03059500,Nelson,306,46.77372742,-96.10744476
